pathogen,disease,symptoms
Escherichia coli O111:H2,Hemolytic-uremic syndrome,
Escherichia coli O111:NM,Gastrointestinal infections,"abdominal cramp,  diarrhea,  vomiting, abdominal cramp,"
Escherichia coli O119:H6,Diarrhea,
Escherichia coli O124:H40,Diarrhea,
Escherichia coli O127:H6,Diarrhea,
Escherichia coli O128:H2,Gastroenteritis,
Escherichia coli O153:H21,unknown,
Escherichia coli O157:H-,Hemolytic-uremic syndrome,
Escherichia coli O157:H45,Diarrhea,
Escherichia coli O157:H7,Hemolytic-uremic syndrome,"abdominal cramp,  acute renal failure,  hemorrhagic diarrhea,  hemolytic anemia,  thrombocytopenia,  fever,  vomiting, abdominal cramp,"
Escherichia coli O157:H7 ,Gastrointestinal infections,
Escherichia coli O157:H7 EDL933,Gastrointestinal infections,"abdominal cramp,  hemorrhagic diarrhea,  fever,"
Escherichia coli O15:NM,Diarrhea,
Escherichia coli O26:H-,Diarrhea,
Escherichia coli O26:H11,Gastrointestinal infections,
Escherichia coli O55:H51,Diarrhea,
Escherichia coli O55:H6,Diarrhea,
Escherichia coli O55:H7,Diarrhea,
Escherichia coli O6,Diarrhea,
Escherichia coli O63:H6,Diarrhea,
Escherichia coli OUT:H45,unknown,
Escherichia coli UTI89,Cystitis,
Escherichia fergusonii,"Bacteraemia, wounds, UTI",
Escherichia vulneris,Wounds,
Eubacterium brachy,"Wounds, abscesses, septicaemia, periodontitis",
Eubacterium combesii,"Wounds, abscesses, septicaemia, periodontitis",
Eubacterium infirmum,"Wounds, abscesses, septicaemia, periodontitis",
Eubacterium limosum,"Wounds, abscesses, septicaemia, periodontitis",
Eubacterium minutum,"Wounds, abscesses, septicaemia, periodontitis",
Eubacterium multiforme,"Wounds, abscesses, septicaemia, periodontitis",
Eubacterium nitritogenes,"Wounds, abscesses, septicaemia, periodontitis",
Eubacterium nodatum,"Wounds, abscesses, septicaemia, periodontitis",
Eubacterium rectale,"Wounds, abscesses, septicaemia, periodontitis",
Eubacterium saphenum,"Wounds, abscesses, septicaemia, periodontitis",
Eubacterium sulci,"Wounds, abscesses, septicaemia, periodontitis",
Eubacterium tenue,"Wounds, abscesses, septicaemia, periodontitis",
Eubacterium tortuosum,"Wounds, abscesses, septicaemia, periodontitis",
Eubacterium ventriosum,"Wounds, abscesses, septicaemia, periodontitis",
Eubacterium yurii subsp. margaretiae,"Wounds, abscesses, septicaemia, periodontitis",
Eubacterium yurii subsp. schtitka,"Wounds, abscesses, septicaemia, periodontitis",
Eubacterium yurii subsp. yurii,"Wounds, abscesses, septicaemia, periodontitis",
Ewingella americana,"Septicaemia, wounds, UTI",
Exiguobacterium acetylicum,"Wound infection, bacteraemia",
Exiguobacterium aurantiacum,"Wound infection, bacteraemia",
Exophiala asiatica,,
Exophiala attenuata,,
Exophiala bergeri,,
Exophiala castellanii,,
Exophiala dermatitidis,phaeohyphomycosis,
Exophiala jeanselmei,,
Exophiala lecanii-corni,,
Exophiala moniliae,,
Exophiala oligosperma,,
Exophiala phaeomuriformis,,
Exophiala pisciphila,,
Exophiala salmonis,,
Exophiala spinifera,,
Exophiala xenobiotica,,
Exserohilum,phaeohyphomycosis,
Exserohilum longirostratum,,
Exserohilum mcginnisii,,
Eyach virus,,
Facklamia hominis,"UTI, bacteraemia, abscess",
Facklamia ignava,"UTI, bacteraemia, abscess",
Facklamia languida,"UTI, bacteraemia, abscess",
Facklamia sourekii,"UTI, bacteraemia, abscess",
Faecalicatena contorta,"Wounds, abscesses, septicaemia, periodontitis",
Faecalicatena orotica,"Wound infection, bacteraemia, abscesses",
Faecalitalea cylindroides,"Wounds, abscesses, septicaemia, periodontitis",
Falciformispora senegalensis,,
Falciformispora tompkinsii,,
Farfantepenaeus aztecus,brown shrimp allergy,
Fenneropenaeus indicus,Indian prawn allergy,
Filifactor alocis,"Gingivitis, periodontitis",
Filifactor villosus,"Gingivitis, periodontitis",
Filobasidium magnum,,
Filobasidium uniguttulatum,,
Finegoldia magna,,
Flavonifractor plautii,"Wounds, abscesses, septicaemia, periodontitis",
Flexal mammarenavirus,,
Flexispira rappini,"Bacteraemia, diarrhoea",
Fluoribacter bozemanae,"Legionnaires’ disease, Pontiac fever",
Fluoribacter dumoffii,"Legionnaires’ disease, Pontiac fever",
Fluoribacter gormanii,"Legionnaires’ disease, Pontiac fever",
Fonsecaea monophora,,
Fonsecaea multimorphosa,,
Fonsecaea nubica,,
Fonsecaea pedrosoi,,
Francisella novicida,,
Francisella novicida FTE,Tularemia,
Francisella novicida GA99-3548,Tularemia,
Francisella novicida GA99-3549,Tularemia,
Francisella philomiragia,"Septicaemia, invasive systemic infection",
Francisella tularensis,Tularemia;tularemia;Tularaemia,"anorexia,  chills,  diarrhea,  dry cough,  headache,  inflamed eyes,  joint pain,  lymph gland swelling,  malaise,  mouth sore,  muscles ache,  painful lymph glands,  pharyngitis,  pneumonia,  progressive weakness,  skin ulcer,  sudden onset of fever,  throat pain,  toxemia,  weight loss,  painful reginal lymphadenopathy,  lesions in mouth,  chest pain,  dyspnea, anorexia,"
Francisella tularensis subsp. Tularensis,Tularemia,
Francisella tularensis subsp. holarctica,,"enlargement of lymph nodes,  fever,  headache, enlargement of lymph nodes,"
Francisella tularensis subsp. holarctica ,Tularemia,
Francisella tularensis subsp. holarctica  ,Oropharyngeal tularemia,
Francisella tularensis subsp. mediasiatica,Tularemia,
Francisella tularensis subsp. mediasiatica  ,Tularemia,
Francisella tularensis subsp. tularensis,,"bronchiolitis,  chest pain,  dyspnea,  hilar lymphadenitis,  pharyngitis,  phlegm,  pneumonitis, bronchiolitis,"
Fugong orthohantavirus,,
Fungi,primary systemic mycosis;disease by infectious agent;endothrix infectious disease;tinea corporis;cutaneous mycosis;subcutaneous mycosis;superficial mycosis;fungal infectious disease;opportunistic mycosis;tinea cruris;tinea unguium;dermatomycosis;tinea manuum,
Fusarium chlamydosporum,,
Fusarium dimerum,,
Fusarium falciforme,,
Fusarium fujikuroi,,
Fusarium incarnatum,,
Fusarium lichenicola,,
Fusarium napiforme,,
Fusarium neocosmosporiellum,,
Fusarium nygamai,,
Fusarium oxysporum,,
Fusarium subglutinans,,
Fusarium verticillioides,,
Fusobacterium gonidiaformans,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
Fusobacterium mortiferum,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
Fusobacterium naviforme,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
Fusobacterium necrogenes,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
Fusobacterium necrophorum subsp. funduliforme,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
Fusobacterium necrophorum subsp. necrophorum,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
Fusobacterium nucleatum subsp. fusiforme,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
Fusobacterium nucleatum subsp. nucleatum,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
Fusobacterium nucleatum subsp. polymorphum,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
Fusobacterium nucleatum subsp. vincentii,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
Fusobacterium periodonticum,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
Fusobacterium russii,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
Fusobacterium ulcerans,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
Fusobacterium varium,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
Gadgets Gully virus,,
Gadus morhua,Atlantic cod allergy,
Gairo mammarenavirus,,
Gardnerella vaginalis,Intrauterine and neonatal sepsis,
Gemella bergeri,"Bacteraemia, endocarditis",
Gemella haemolysans,"Bacteraemia, endocarditis",
Gemella morbillorum,"Bacteraemia, endocarditis",
Gemella sanguinis,"Bacteraemia, endocarditis",
Gemycircularvirus HV-GcV1,,
Geotrichum candidum,,
Geotrichum candidum [NCBITaxon:27317],geotrichosis,
Gjaerumia minor,,
Gliomastix roseogrisea,,
Globicatella sanguinis,"Bacteraemia, UTI, meningitis",
Glutamicibacter creatinolyticus,"UTI, bacteraemia, skin infection",
Gordonia aichiensis,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis",
Gordonia araii,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis",
Gordonia bronchialis,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis",
Gordonia effusa,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis",
Gordonia otitidis,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis",
Gordonia polyisoprenivorans,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis",
Gordonia rubripertincta,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis",
Gordonia sputi,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis",
Gordonia terrae,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis",
Granulicatella adiacens,"Endocarditis, septic arthritis, endodontic infection",
Granulicatella elegans,"Endocarditis, septic arthritis, endodontic infection",
Graphium basitruncatum,,
Great Island virus,,
Grimontia hollisae,Diarrhoea,
Guanarito mammarenavirus,Venezuelan hemorrhagic fever,
Guanarito virus,Venezuelan hemorrhagic fever,"menorrhagia,  melena,  diarrhea,  pharyngitis,  chest pain,  myalgia,  nausea,  fever,  headache,  epistaxis,  facial edema,  leukopenia,  adenopathy,  hematemesis,  hemorrhage,  conjunctivitis,  convulsion,  vomiting,  anorexia,  joint pain,  gum bleeding,  cervical lymphadenopathy,  toxemia,  thrombocytopenia,  throat pain,  cough,  dehydration,  abdominal pain,  weakness, menorrhagia,"
Guaroa orthobunyavirus,,
Gymnascella hyalinospora,,
Gymnoascus dankaliensis,,
H1N1 subtype,Influenza,"fever,  cough,  throat pain,  runny nose,  body ache,  headache,  chills,  fatigue,  diarrhea,  vomiting, fever,"
H1N1 swine influenza virus,Influenza,
H1N2 subtype,Influenza,
H2N2 subtype,,
H3N2 subtype,Influenza,"depression,  cough,  sneezing,  loss of appetite, depression,"
H3N3 subtype,,
H3N8 subtype,,"pneumonia,  fever,  cough, pneumonia,"
H4N5 subtype,,
H4N6 subtype,Influenza,"cough,  weight loss, cough,"
H4N8 subtype,Influenza,
H5N1 subtype,Influenza,
H5N2 subtype,,
H5N3 subtype,Influenza,
H5N8 subtype,Influenza,
H5N9 subtype,,
H6N2 subtype,,
H6N9 subtype,Influenza,
H7N1 subtype,Influenza,
H7N2 subtype,Influenza,
H7N3 subtype,Influenza,"malaise, malaise,"
H7N4 subtype,Influenza,
H7N5 subtype,Influenza,
H7N7 subtype,,"fever,  dry hacking cough,  runny nose,  depression,  muscle soreness,  loss of appetite,   fever,  muscles ache,"
H7N8 subtype,Influenza,
H8N4 subtype,Influenza,
H8N5 subtype,Influenza,
H9N1 subtype,Influenza,
H9N2 subtype,,"fever,  cough,  throat pain,  muscles ache,  pneumonia, fever,"
H9N3 subtype,Influenza,
H9N4 subtype,Influenza,
H9N5 subtype,Influenza,
H9N6 subtype,Influenza,
H9N7 subtype,Influenza,
H9N8 subtype,Influenza,
H9N9 subtype,Influenza,
Haemagogus,yellow fever,
Haemaphysalis concinna,Far Eastern spotted fever;Siberian tick typhus,
Haemaphysalis flava,Japanese spotted fever,
Haemophilus aegyptius,Brazilian purpuric fever,
Haemophilus influenzae,"Bacteraemia, meningitis, epiglottitis",
Haemophilus parainfluenzae,"Sinusitis, otitis media, pneumonia, abscesses, endocarditis",
Haemophilus pittmaniae,"Sinusitis, otitis media, pneumonia, abscesses, endocarditis",
Hafnia alvei,Bacteraemia,
Hanko virus,,
Hantaan orthohantavirus,,
Hantaan virus,Hantavirus infection,
Hantavirus,Hantavirus pulmonary syndrome,
Hantavirus Z10,,
Hathewaya histolytica,"Wound infection, bacteraemia, abscesses",
Hathewaya limosa,"Wound infection, bacteraemia, abscesses",
Hazara virus,,
Heartland virus,,
Helcococcus kunzii,"Sebaceous cyst infection, breast abscess, wound infection",
Helcococcus pyogenes,"Sebaceous cyst infection, breast abscess, wound infection",
Helcococcus sueciensis,"Sebaceous cyst infection, breast abscess, wound infection",
Helicobacter bilis,"Cholecystitis, bacteraemia",
Helicobacter bizzozeronii,Gastritis,
Helicobacter canadensis,Gastroenteritis,
Helicobacter canis,Gastroenteritis,
Helicobacter cinaedi,"Proctitis in homosexual men, septicaemia",
Helicobacter felis,Gastritis,
Helicobacter fennelliae,"Proctitis in homosexual men, septicaemia",
Helicobacter heilmannii,Gastritis,
Helicobacter pullorum,Gastroenteritis,
Helicobacter pylori,Gastritis,
Helicobacter salomonis,Gastritis,
Helicobacter suis,Gastritis,
Helicobacter winghamensis,Gastroenteritis,
Hendra henipavirus,,
Hendra virus,Hendra viral infection,
Henipavirus,Nipah virus encephalitis,
Hepacivirus D,,
Hepacivirus L,,
Hepatitis A virus,hepatitis A,
Hepatitis B virus,hepatitis B;hepatitis D,
Hepatitis C virus,hepatitis C,
Hepatitis E virus,hepatitis E,
Hepatitis delta virus,hepatitis D,
Hepatovirus A,,
Herbaspirillum sp.,Associated with aortic aneurism,
Histoplasma capsulatum,,
HoJo virus,Hantavirus infection,
Holdemania filiformis,,
Hortaea werneckii,,
Hughes orthonairovirus,,
Human T-lymphotropic virus 1,adult T-cell leukemia;tropical spastic paraparesis,
Human adenovirus 3,pharyngoconjunctival fever,
Human adenovirus 7,pharyngoconjunctival fever,
Human alphaherpesvirus 1,,
Human alphaherpesvirus 2,,
Human alphaherpesvirus 3,,
Human associated gemykibivirus 2,,
Human associated gemykibivirus 5,,
Human associated gemyvongvirus 1,,
Human astrovirus,,
Human betaherpesvirus 5,,
Human betaherpesvirus 7,,
Human bocavirus,,
Human coronavirus 229E,,
Human coronavirus HKU1,,
Human coronavirus NL63,,
Human enterovirus 70,acute hemorrhagic conjunctivitis,
Human fecal virus Jorvi2,,
Human fecal virus Jorvi3,,
Human fecal virus Jorvi4,,
Human gammaherpesvirus 4,,
Human gammaherpesvirus 8,,
Human herpesvirus 1,herpes simplex;herpetic whitlow;genital herpes;eczema herpeticum,
Human herpesvirus 2,herpes simplex;herpetic whitlow;genital herpes;eczema herpeticum,
Human herpesvirus 3,herpes zoster;geniculate herpes zoster,
Human herpesvirus 4,Epstein-Barr virus hepatitis;infectious mononucleosis,
Human herpesvirus 6,exanthema subitum,
Human herpesvirus 7,exanthema subitum,
Human herpesvirus 8,Kaposi's sarcoma,
Human immunodeficiency virus 1,human immunodeficiency virus infectious disease;acquired immunodeficiency syndrome,
Human immunodeficiency virus 2,human immunodeficiency virus infectious disease;acquired immunodeficiency syndrome,
Human mastadenovirus A,,
Human mastadenovirus B,,
Human mastadenovirus C,,
Human mastadenovirus D,,
Human metapneumovirus,,
Human orthopneumovirus,,
Human papillomavirus,,
Human papillomavirus types,common wart;plantar wart;focal epithelial hyperplasia,
Human picobirnavirus,,
Human poliovirus 1,spinal polio;paralytic poliomyelitis;bulbospinal polio;poliomyelitis;postpoliomyelitis syndrome;nonparalytic poliomyelitis;bulbar polio,
Human poliovirus 2,spinal polio;paralytic poliomyelitis;bulbospinal polio;poliomyelitis;postpoliomyelitis syndrome;nonparalytic poliomyelitis;bulbar polio,
Human poliovirus 3,spinal polio;paralytic poliomyelitis;bulbospinal polio;poliomyelitis;postpoliomyelitis syndrome;nonparalytic poliomyelitis;bulbar polio,
Human polyomavirus 1,,
Human polyomavirus 2,,
Human polyomavirus 3,,
Human polyomavirus 4,,
Human polyomavirus 5,,
Human respiratory syncytial virus,respiratory syncytial virus infectious disease,
Human respirovirus 1,,
Human respirovirus 3,,
Human rubulavirus 2,,
Human rubulavirus 4,,
Human smacovirus 1,,
Hyalomma,Crimean-Congo hemorrhagic fever,
Hymenochaete porioides,,
Ignatzschineria larvae,Bacteraemia,
Ignavigranum ruoffiae,"Wound infection, ear abscess",
Ikoma lyssavirus,,
Ilheus virus,,
Ilyonectria destructans,,
Imjin orthohantavirus,,
Indian encephalitis associated cyclovirus,,
Indiana vesiculovirus,,
Influenza A virus,Influenza,
Influenza B virus,Influenza,
Influenza C virus,Influenza,"cough,  fever,  runny nose,  depression , cough,"
Inkoo virus,undocumented,
Inquilinus limosus,"Pulmonary infection in cystic fibrosis, endocarditis",
Ippy mammarenavirus,,
Irkut lyssavirus,,
Irpex lacteus,,
Isaria fumosorosea,,
Isaria javanica,,
Isfahan vesiculovirus,,
Ixodes,tick-borne encephalitis;Powassan encephalitis;aneruptive fever;Omsk hemorrhagic fever,
Ixodes holocyclus,Queensland tick typhus,
Ixodes pacificus,human monocytic ehrlichiosis;Lyme disease,
Ixodes ricinus,human monocytic ehrlichiosis;louping ill,
Ixodes scapularis,human monocytic ehrlichiosis;Lyme disease,
J-virus,,
Jamestown Canyon virus,undocumented,
Jamestown Canyon-like virus,,
Janibacter melonis,Bacteraemia,
Japanese encephalitis virus,Japanese encephalitis,"fever,  headache,  stiff neck,  stupor,  disorientation,  coma,  tremor,  convulsion,  spastic paralysis,  decreased motor response,  stillbirth,  abortion,  infertility, fever,"
Japanese encephalitis virus ,,
Jeju orthohantavirus,,
Johnsonella ignava,Periodontitis,
Jugra virus,,
Junin mammarenavirus,Argentine hemorrhagic fever,
Junin virus,Junin hemorrhagic fever,
Kadam virus,,
Kadipiro virus,,
Kaeng Khoi orthobunyavirus,,
Kamiti River virus,,
Kasokero orthonairovirus,,
Kazachstania bovina,,
Kazachstania pintolopesii,,
Kazachstania telluris,,
Kedougou virus,,
Kenkeme orthohantavirus,,
Keratinomyces ceretanicus,,
Kerstersia gyiorum,Wound infection,
Keterah orthonairovirus,,
Keystone virus,,
Khabarovsk orthohantavirus,,
Kingella denitrificans,"Septic arthritis, endocarditis, bite infection",
Kingella kingae,"Septic arthritis, endocarditis, bite infection",
Kingella oralis,"Septic arthritis, endocarditis, bite infection",
Kingella potus,"Septic arthritis, endocarditis, bite infection",
Klebsiella aerogenes,"Bacteraemia, respiratory tract infections, UTI",
Klebsiella granulomatis,granuloma inguinale;Donovanosis,
Klebsiella oxytoca,"UTI, bacteraemia, wound infection, respiratory tract infection",
Klebsiella pneumoniae subsp. ozaenae,"UTI, bacteraemia, wound infection, respiratory tract infection",
Klebsiella pneumoniae subsp. pneumoniae,"UTI, bacteraemia, wound infection, respiratory tract infection",
Klebsiella pneumoniae subsp. rhinoscleromatis,Rhinoscleroma,
Klebsiella variicola,"UTI, bacteraemia, wound infection, respiratory tract infection",
Kluyvera ascorbata,"Bacteraemia, UTI, mediastinitis, line sepsis",
Kluyvera cryocrescens,"Bacteraemia, UTI, mediastinitis, line sepsis",
Kluyvera georgiana,"Bacteraemia, UTI, mediastinitis, line sepsis",
Kluyvera intermedia,"Bacteraemia, UTI, mediastinitis, line sepsis",
Kluyveromyces marxianus,,
Knufia epidermidis,,
Kocuria kristinae,"Cholecystitis, line-related sepsis",
Kocuria rosea,"Cholecystitis, line-related sepsis",
Kocuria varians,"Cholecystitis, line-related sepsis",
Kokobera virus,,
Kunjin virus,Kunjin encephalitis,"enlargement of lymph nodes,  fever,  lethargy,  rash,  muscle weakness,  fatigue,  severe headache,  stiff neck,  slurred speech,  delirium,  ataxia,  cranial nerve palsies,  respiratory failure,  chills,  photophobia,  nausea,  convulsion, enlargement of lymph nodes,"
Kurthia gibsonii,,
Kurthia zopfii,,
Kyasanur forest disease virus,undocumented,"fever,  headache,  muscle pain,  cough,  dehydration,  bleeding,  backache, fever,"
Kytococcus schroeteri,"Endocarditis, cerebral cyst infection",
Kytococcus sedentarius,"Endocarditis, cerebral cyst infection",
La Crosse virus,La Crosse encephalitis,
La Crosse virus ,undocumented,"fever,  headache,  nausea,  vomiting,  lethargy,  seizure,  coma,  paralysis, fever,"
Lacazia loboi,lobomycosis,
Lachnoanaerobaculum saburreum,"Wounds, abscesses, septicaemia, periodontitis",
Lactobacillus acidophilus,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
Lactobacillus brevis,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
Lactobacillus casei,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
Lactobacillus coleohominis,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
Lactobacillus crispatus,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
Lactobacillus dextrinicus,"Bacteraemia, abscesses, pulmonary infection",
Lactobacillus fermentum,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
Lactobacillus gasseri,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
Lactobacillus iners,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
Lactobacillus jensenii,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
Lactobacillus leichmannii,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
Lactobacillus oris,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
Lactobacillus paracasei,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
Lactobacillus paraplantarum,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
Lactobacillus plantarum,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
Lactobacillus rhamnosus,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
Lactobacillus salivarius,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
Lactobacillus vaginalis,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
Lactococcus garvieae,"Bacteraemia, endocarditis, UTI",
Lactococcus lactis,"Bacteraemia, endocarditis, UTI",
Laguna Negra virus,hantavirus pulmonary syndrome,
Lake Victoria marburgvirus,Marburg virus disease,"diarrhea,  myalgia,  vomiting,  fever,  chills,  anorexia,  abdominal tenderness,  weakness,  malaise, diarrhea,"
Langat virus,,
Lasiodiplodia theobromae,,
Lassa mammarenavirus,Lassa fever,
Lassa virus,Lassa fever,
Latino mammarenavirus,,
Lautropia mirabilis,,
Le Dantec ledantevirus,,
Leclercia adecarboxylata,"Bacteraemia, wound infection",
Legionella anisa,"Legionnaires’ disease, Pontiac fever",
Legionella birminghamensis,"Legionnaires’ disease, Pontiac fever",
Legionella cincinnatiensis,"Legionnaires’ disease, Pontiac fever",
Legionella feeleii,"Legionnaires’ disease, Pontiac fever",
Legionella hackeliae,"Legionnaires’ disease, Pontiac fever",
Legionella israelensis,"Legionnaires’ disease, Pontiac fever",
Legionella jordanis,"Legionnaires’ disease, Pontiac fever",
Legionella lansingensis,"Legionnaires’ disease, Pontiac fever",
Legionella longbeachae,"Legionnaires’ disease, Pontiac fever",
Legionella lytica,"Legionnaires’ disease, Pontiac fever",
Legionella maceachernii,"Legionnaires’ disease, Pontiac fever",
Legionella oakridgensis,"Legionnaires’ disease, Pontiac fever",
Legionella pneumophila,legionellosis;Legionnaires’ disease; Pontiac fever,
Legionella quinlivanii,"Legionnaires’ disease, Pontiac fever",
Legionella rubrilucens,"Legionnaires’ disease, Pontiac fever",
Legionella sainthelensi,"Legionnaires’ disease, Pontiac fever",
Legionella tucsonensis,"Legionnaires’ disease, Pontiac fever",
Legionella wadsworthii,"Legionnaires’ disease, Pontiac fever",
Legionella worsleiensis,"Legionnaires’ disease, Pontiac fever",
Leifsonia aquatica,"UTI, endocarditis, meningitis, CAPD peritonitis",
Leishmania,parasitic protozoa infectious disease;leishmaniasis,
Lelliottia amnigena,"Bacteraemia, respiratory tract infections, UTI",
Leminorella grimontii,"UTI, bacteraemia, surgical site infection, peritonitis",
Leminorella richardii,"UTI, bacteraemia, surgical site infection, peritonitis",
Leopards Hill virus,,
Leptosphaeria coniothyrium,,
Leptospira,leptospirosis,
Leptospira biflexa,Leptospirosis,
Leptospira borgpetersenii,Leptospirosis,
Leptospira broomii,Leptospirosis,
Leptospira inadai,Leptospirosis,
Leptospira interrogans,Leptospirosis,
Leptospira kirschneri,Leptospirosis,
Leptospira noguchii,Leptospirosis,
Leptospira santarosai,Leptospirosis,
Leptospira weilii,Leptospirosis,
Leptotrichia buccalis,"Bacteraemia, endocarditis",
Leptotrichia goodfellowii,"Bacteraemia, endocarditis",
Leptotrichia shahii,"Bacteraemia, endocarditis",
Leptotrichia trevisanii,"Bacteraemia, endocarditis",
Leptotrombidium deliense,scrub typhus,
Leuconostoc citreum,"Meningitis, bacteraemia, pulmonary infection",
Leuconostoc lactis,"Meningitis, bacteraemia, pulmonary infection",
Leuconostoc mesenteroides subsp. cremoris,"Meningitis, bacteraemia, pulmonary infection",
Leuconostoc mesenteroides subsp. dextranicum,"Meningitis, bacteraemia, pulmonary infection",
Leuconostoc mesenteroides subsp. mesenteroides,"Meningitis, bacteraemia, pulmonary infection",
Leuconostoc pseudomesenteroides,"Meningitis, bacteraemia, pulmonary infection",
Liao ning virus,,
Lichtheimia corymbifera,,
Lichtheimia ramosa,,
Listeria,listeriosis,
Listeria grayi,"Septicaemia, meningitis, intrauterine infection, enteric infection",
Listeria ivanovii,"Septicaemia, meningitis, intrauterine infection, enteric infection",
Listeria monocytogenes,Septicemia;Septicaemia; meningitis; intrauterine infection; enteric infection,"abdominal cramp,  chills,  confusion,  convulsion,  diarrhea,  fever,  headache,  loss of balance,  muscles ache,  nausea,  photophobia,  premature labor,  spontaneous abortion,  stiff neck,  vomiting,  altered mental status,  ataxia,  encephalitis,  malaise,  meningitis,  seizure,  bifrontal headache,  drowsiness,  torticollis,  abdominal pain,  abnormal hemistanding,  abnormal hemiwalking,  anemia,  circling movement,  conjunctivitis,  decreased conscious proprioception,  decreased facial sensation,  decreased flexor withdrawal reflex,  decreased jaw tone,  decreased pharyngeal tone,  decreased tongue tone,  depression,  hemiparesis,  gastroenteritis,  septicemia,  epileptic seizure,  incoordination,  lateroventral deviation of the head,  partial hind limb paralysis,  shakes,  sudden ataxis,  anorexia,  decreased milk production,  transient fever,  corneal opacity,  inibility to stand,  recumbency,  staggering gait,  excess salivation,  facial muscle twitching,  loss of appetite,  loss of vision,  throat muscle paralysis, abdominal cramp,"
Listeria monocytogenes ATCC 19115,,"abdominal cramp,  diarrhea,  fever,  nausea,  vomiting,  circling movement,  droopy ears,  lip paralysis,  vaginal discharge, abdominal cramp,"
Listeria monocytogenes EGD-e,Listeriosis,
Listeria monocytogenes str. 1/2a F6854,Meningoencephalomyelitis,"body ache,  diarrhea,  fever,  headache,  vomiting,  circling movement,  excess salivation,  head pressing,  recumbency, body ache,"
Listeria monocytogenes str. 4b F2365,Listeriosis,
Listeria monocytogenes str. 4b H7858,Listeriosis,
Listeria seeligeri,"Septicaemia, meningitis, intrauterine infection, enteric infection",
Litopenaeus vannamei,white shrimp allergy,
Lloviu cuevavirus,,
Lomentospora prolificans,,
Louping ill virus,louping ill,
Lujo mammarenavirus,,
Lumbo virus,,
Luna mammarenavirus,,
Lunk mammarenavirus,,
Luteococcus peritonei,"Peritonitis, bacteraemia",
Luteococcus sanguinis,"Peritonitis, bacteraemia",
Lymphocytic choriomeningitis mammarenavirus,lymphocytic choriomeningitis,
Lymphocytic choriomeningitis virus,Non-arthropod-borne lymphocytic choriomeningitis,"severe headache,  photophobia,  nausea,  retrobulbar pain,  rash,  diarrhea,  cough,  muscles ache,  fever,  stiff neck,  vomiting, severe headache,"
